year,month,value
1919,11,-0.42
1919,12,-0.27
1920,1,-0.1
1920,2,-0.26
1920,3,-0.14
1920,4,-0.18
1920,5,-0.31
1920,6,-0.37
1920,7,-0.2
1920,8,-0.13
1920,9,-0.14
1920,10,-0.42
1920,11,-0.31
1920,12,-0.47
1921,1,0
1921,2,-0.15
1921,3,-0.1
1921,4,-0.17
1921,5,-0.17
1921,6,-0.09
1921,7,0.03
1921,8,-0.45
1921,9,-0.12
1921,10,-0.09
1921,11,-0.24
1921,12,-0.16
1922,1,-0.38
1922,2,-0.44
1922,3,-0.29
1922,4,-0.09
1922,5,-0.35
1922,6,-0.3
1922,7,-0.02
1922,8,-0.22
1922,9,-0.11
1922,10,-0.23
1922,11,-0.09
1922,12,-0.13
1923,1,-0.22
1923,2,-0.19
1923,3,-0.21
1923,4,-0.44
1923,5,-0.3
1923,6,-0.25
1923,7,-0.47
1923,8,-0.34
1923,9,-0.27
1923,10,-0.07
1923,11,0
1923,12,-0.06
1924,1,-0.26
1924,2,-0.41
1924,3,-0.12
1924,4,-0.49
1924,5,-0.26
1924,6,-0.14
1924,7,-0.13
1924,8,-0.15
1924,9,-0.04
1924,10,-0.11
1924,11,-0.04
1924,12,-0.27
1925,1,-0.41
1925,2,-0.35
1925,3,-0.26
1925,4,-0.15
1925,5,-0.32
1925,6,-0.39
1925,7,-0.4
1925,8,-0.08
1925,9,-0.28
1925,10,-0.34
1925,11,-0.01
1925,12,0.2
1926,1,0.26
1926,2,0.29
1926,3,0.21
1926,4,-0.11
1926,5,-0.36
1926,6,-0.21
1926,7,-0.16
1926,8,0.03
1926,9,0.02
1926,10,-0.11
1926,11,0.04
1926,12,-0.24
1927,1,-0.18
1927,2,-0.18
1927,3,-0.37
1927,4,-0.34
1927,5,-0.29
1927,6,-0.25
1927,7,-0.04
1927,8,-0.25
1927,9,-0.11
1927,10,0.14
1927,11,0.12
1927,12,-0.23
1928,1,0.07
1928,2,-0.01
1928,3,-0.09
1928,4,-0.06
1928,5,-0.38
1928,6,-0.55
1928,7,-0.05
1928,8,-0.03
1928,9,0.03
1928,10,-0.03
1928,11,0.09
1928,12,-0.04
1929,1,-0.27
1929,2,-0.5
1929,3,-0.33
1929,4,-0.42
1929,5,-0.41
1929,6,-0.43
1929,7,-0.36
1929,8,-0.36
1929,9,-0.19
1929,10,0.03
1929,11,-0.02
1929,12,-0.59
1930,1,-0.21
1930,2,-0.19
1930,3,-0.05
1930,4,-0.2
1930,5,-0.14
1930,6,-0.19
1930,7,-0.18
1930,8,-0.15
1930,9,-0.11
1930,10,-0.27
1930,11,0.11
1930,12,-0.06
1931,1,-0.14
1931,2,-0.28
1931,3,-0.05
1931,4,-0.3
1931,5,-0.17
1931,6,-0.09
1931,7,0.07
1931,8,0.09
1931,9,-0.17
1931,10,0.05
1931,11,-0.16
1931,12,0.07
1932,1,0.33
1932,2,-0.28
1932,3,-0.2
1932,4,0.06
1932,5,-0.19
1932,6,-0.47
1932,7,-0.23
1932,8,-0.18
1932,9,0.05
1932,10,0.09
1932,11,-0.1
1932,12,-0.15
1933,1,-0.36
1933,2,-0.28
1933,3,-0.25
1933,4,-0.19
1933,5,-0.13
1933,6,-0.27
1933,7,-0.12
1933,8,-0.18
1933,9,-0.1
1933,10,-0.08
1933,11,-0.36
1933,12,-0.55
1934,1,-0.14
1934,2,-0.12
1934,3,-0.36
1934,4,-0.35
1934,5,0
1934,6,-0.18
1934,7,0
1934,8,0.07
